Test-User;Support Vector Machine;Random Forest
12;3737,304925918579;8388,29517364502
19;3791,2909984588623;8459,325075149536
7;3802,811622619629;8483,85238647461
1;3742,145776748657;8391,692399978638
15;3723,2635021209717;8508,342981338501
6;3702,099084854126;8423,035621643066
4;3708,083152770996;8484,548568725586
8;3727,185010910034;8400,535345077515
9;3719,7868824005127;8394,014596939087
11;3719,2139625549316;8559,66591835022
16;3755,4986476898193;8474,618196487427
18;3712,7552032470703;8481,42409324646
2;3697,2591876983643;8377,420902252197
13;4611,666440963745;8609,051704406738
20;3763,2129192352295;8386,084079742432
17;3788,8476848602295;8486,735343933105
10;3890,2878761291504;8461,139440536499
5;3736,733913421631;8438,80581855774
3;3740,1483058929443;8403,326511383057
14;3738,337516784668;8442,320108413696
Mean;3790,3966307640076;8452,711713314056
Std.Dev.;37383,40689324033;3565,2836398325867
Min;3697,2591876983643;8377,420902252197
Max;4611,666440963745;8609,051704406738
