Test-User;Support Vector Machine;Random Forest
13;0,9655172413793104;0,9885057471264368
1;0,8045977011494253;0,8505747126436781
16;0,9425287356321839;0,9425287356321839
18;0,9195402298850575;0,9310344827586207
14;0,9195402298850575;0,9655172413793104
12;0,9655172413793104;0,9885057471264368
8;0,9885057471264368;1,0
11;0,9080459770114943;0,9655172413793104
17;0,9080459770114943;0,9425287356321839
5;0,8505747126436781;0,9655172413793104
7;0,8045977011494253;0,9310344827586207
20;1,0;1,0
15;0,896551724137931;0,9655172413793104
3;0,8620689655172413;0,9080459770114943
9;0,9080459770114943;0,9425287356321839
2;0,8160919540229885;0,8505747126436781
4;0,9655172413793104;0,9770114942528736
19;1,0;1,0
10;0,9080459770114943;0,9540229885057471
6;0,896551724137931;0,9080459770114943
Mean;0,9114942528735632;0,9488505747126437
Std.Dev.;0,0035024441802087468;0,001816290130796672
Min;0,8045977011494253;0,8505747126436781
Max;1,0;1,0
