Test-User;Support Vector Machine;Random Forest
15;10418,365001678467;23349,029779434204
11;10219,526290893555;23377,12526321411
14;10374,374389648438;23932,941436767578
5;10761,627674102783;22012,84170150757
8;9570,798397064209;22041,165113449097
3;9653,431177139282;22138,643503189087
18;9755,581140518188;22127,75945663452
9;9541,642427444458;21937,612533569336
1;9437,341690063477;21908,788919448853
7;9670,416593551636;22010,0359916687
4;9705,491304397583;22399,996042251587
19;9676,422834396362;21999,72629547119
10;9505,88846206665;21966,495990753174
16;9652,55880355835;22081,047534942627
6;9610,567092895508;21999,06897544861
20;9683,552265167236;21959,471940994263
13;9842,621803283691;22009,95421409607
12;9691,211700439453;23488,24715614319
17;11700,212717056274;23242,2354221344
2;10535,138607025146;27863,685846328735
Mean;9950,338518619537;22692,293655872345
Std.Dev.;299940,277257413;1811359,7461146556
Min;9437,341690063477;21908,788919448853
Max;11700,212717056274;27863,685846328735
