Test-User;Support Vector Machine;Random Forest
17;0,9310344827586207;0,9425287356321839
4;0,9655172413793104;0,9885057471264368
2;0,8160919540229885;0,8275862068965517
15;0,9080459770114943;0,9425287356321839
18;0,9195402298850575;0,9195402298850575
13;0,9770114942528736;0,9885057471264368
7;0,9080459770114943;0,9080459770114943
19;0,9885057471264368;1,0
10;0,896551724137931;0,9770114942528736
5;0,8735632183908046;0,9540229885057471
9;0,896551724137931;0,9195402298850575
16;0,9195402298850575;0,9425287356321839
6;0,9080459770114943;0,9310344827586207
3;0,8735632183908046;0,9195402298850575
1;0,8275862068965517;0,8505747126436781
14;0,9195402298850575;0,9655172413793104
20;1,0;1,0
8;0,9885057471264368;1,0
11;0,896551724137931;0,9195402298850575
12;0,9540229885057471;0,9885057471264368
Mean;0,9183908045977012;0,9442528735632184
Std.Dev.;0,002403223675518563;0,0021571541815299253
Min;0,8160919540229885;0,8275862068965517
Max;1,0;1,0
