Test-User;Support Vector Machine;Random Forest
6;6424,365520477295;13528,388977050781
4;6364,372730255127;13652,560472488403
3;6719,481706619263;15271,297454833984
10;7808,151006698608;15319,090604782104
16;8002,532720565796;15403,923273086548
12;7924,573659896851;14098,483324050903
18;6273,49591255188;13378,322124481201
8;6161,277532577515;13323,57668876648
5;6235,688209533691;13357,004165649414
17;6281,9929122924805;13398,88882637024
2;6179,170608520508;13392,251253128052
1;6032,372951507568;13311,34557723999
15;6267,020225524902;13393,906354904175
20;6270,591259002686;13387,847900390625
9;6170,77112197876;13290,282487869263
7;6123,0268478393555;13397,059679031372
14;6226,46689414978;13301,267147064209
11;6293,834447860718;13300,18949508667
13;6268,45121383667;13286,47255897522
19;6220,513105392456;13381,217002868652
Mean;6512,4075293540955;13708,668768405914
Std.Dev.;363948,72280067985;496212,7829564728
Min;6032,372951507568;13286,47255897522
Max;8002,532720565796;15403,923273086548
