Test-User;Support Vector Machine;Random Forest
19;1,0;1,0
5;0,8505747126436781;0,9425287356321839
12;0,9425287356321839;0,9540229885057471
2;0,7701149425287356;0,7816091954022989
16;0,896551724137931;0,9655172413793104
10;0,9195402298850575;0,9310344827586207
20;0,9770114942528736;0,9885057471264368
7;0,8160919540229885;0,8850574712643678
3;0,8850574712643678;0,9080459770114943
17;0,9080459770114943;0,9540229885057471
9;0,8620689655172413;0,896551724137931
13;0,9425287356321839;0,9770114942528736
15;0,9195402298850575;0,9655172413793104
8;0,9655172413793104;0,9655172413793104
1;0,8275862068965517;0,8160919540229885
11;0,9310344827586207;0,9310344827586207
4;0,9310344827586207;0,9655172413793104
18;0,9195402298850575;0,9195402298850575
14;0,9195402298850575;0,9770114942528736
6;0,8850574712643678;0,9080459770114943
Mean;0,903448275862069;0,9316091954022989
Std.Dev.;0,0030307834588452908;0,002912868278504426
Min;0,7701149425287356;0,7816091954022989
Max;1,0;1,0
