Test-User;Support Vector Machine;Random Forest
7;7014,932870864868;18317,43311882019
20;6956,872463226318;18307,78694152832
14;6948,130130767822;18726,133108139038
17;7049,778461456299;18550,38595199585
15;7140,573501586914;18743,1423664093
10;6845,828533172607;18418,86806488037
5;6995,484828948975;18400,289058685303
19;7026,224613189697;18512,898206710815
12;6960,35623550415;19324,73134994507
1;6840,148687362671;18577,054977416992
11;7056,8695068359375;18639,10937309265
13;6966,36438369751;18421,245336532593
16;7015,376091003418;18505,645751953125
4;7106,178283691406;20836,852312088013
6;6939,719676971436;18468,796730041504
2;6897,387504577637;18831,14743232727
3;6972,898006439209;18512,65788078308
9;7023,793697357178;19975,80075263977
18;7174,842834472656;18486,51432991028
8;7211,917877197266;18430,280447006226
Mean;7007,183909416199;18749,338674545288
Std.Dev.;9219,988553493862;371138,59063356125
Min;6840,148687362671;18307,78694152832
Max;7211,917877197266;20836,852312088013
