Test-User;Support Vector Machine;Random Forest
20;2398,5862731933594;5018,605709075928
18;2860,3782653808594;5317,070484161377
15;2773,5824584960938;5116,316556930542
4;4045,234203338623;5334,547519683838
13;2776,6029834747314;4841,54748916626
5;2434,659957885742;4834,909915924072
7;2618,119478225708;4794,291019439697
14;2367,8042888641357;4658,495187759399
11;2397,144556045532;5482,374668121338
17;2552,479028701782;4819,463729858398
8;2902,238130569458;4756,694316864014
1;2399,505853652954;4901,3352394104
9;2807,936191558838;5180,155515670776
16;2538,472890853882;4801,490783691406
12;2454,4196128845215;4706,130743026733
19;2418,6034202575684;4767,879009246826
6;2432,8668117523193;4653,652906417847
10;2404,84619140625;4670,16339302063
3;2394,5488929748535;4677,825212478638
2;2401,71217918396;4654,839754104614
Mean;2618,9870834350586;4899,389457702637
Std.Dev.;137818,9264671107;61658,921720218124
Min;2367,8042888641357;4653,652906417847
Max;4045,234203338623;5482,374668121338
