Test-User;Support Vector Machine;Random Forest
17;741,5275573730469;2573,125123977661
12;734,0695858001709;2555,9494495391846
20;717,109203338623;2567,9543018341064
19;702,2943496704102;2582,8137397766113
6;695,143461227417;2552,9117584228516
10;695,7557201385498;2538,5594367980957
8;728,6624908447266;2568,5524940490723
7;708,3175182342529;2561,741352081299
15;699,4407176971436;2576,2805938720703
11;727,0243167877197;2589,9057388305664
9;710,1280689239502;2616,306781768799
2;693,9630508422852;2555,5291175842285
3;694,6513652801514;2588,8988971710205
1;703,1121253967285;2595,520257949829
5;720,2208042144775;2567,7785873413086
16;706,5877914428711;2608,081817626953
13;708,2939147949219;2599,428415298462
18;706,1450481414795;2600,618362426758
4;715,0988578796387;2592,001438140869
14;714,7493362426758;2599,619150161743
Mean;711,114764213562;2579,5788407325745
Std.Dev.;177,85572565856;415,459408846317
Min;693,9630508422852;2538,5594367980957
Max;741,5275573730469;2616,306781768799
