Test-User;Support Vector Machine;Random Forest
9;797,3456382751465;2465,684652328491
14;793,1919097900391;2476,9275188446045
8;788,1202697753906;2478,529453277588
15;794,5871353149414;2486,3529205322266
5;796,1986064910889;2477,3645401000977
7;791,7945384979248;2476,5944480895996
4;795,6128120422363;2476,7889976501465
17;791,90993309021;2491,1420345306396
13;798,8877296447754;2499,94158744812
18;799,13330078125;2499,614715576172
10;800,3294467926025;2506,882905960083
1;798,3739376068115;2484,9140644073486
20;803,3032417297363;2485,9769344329834
12;819,3411827087402;2466,6082859039307
3;810,5981349945068;2478,818893432617
16;826,7698287963867;2478,6245822906494
11;824,3870735168457;2459,0396881103516
2;836,8508815765381;2443,736791610718
19;832,4217796325684;2483,2048416137695
6;826,5821933746338;2480,221748352051
Mean;806,2869787216187;2479,8484802246094
Std.Dev.;226,44785465843142;196,08487401342245
Min;788,1202697753906;2443,736791610718
Max;836,8508815765381;2506,882905960083
