Test-User;Support Vector Machine;Random Forest
20;3925,0407218933105;13,837099075317383
13;2955,8045864105225;14,960527420043945
10;2915,2674674987793;14,933347702026367
9;2909,475564956665;17,954349517822266
17;2908,2424640655518;18,949031829833984
11;2792,1316623687744;14,982223510742188
5;2810,004472732544;13,962030410766602
19;2809,9701404571533;15,95759391784668
8;2841,6550159454346;15,355348587036133
18;2880,2695274353027;14,987707138061523
6;2958,5249423980713;13,965606689453125
2;3181,7972660064697;29,92415428161621
1;2780,2958488464355;17,917871475219727
3;3048,6226081848145;14,01662826538086
4;2855,053424835205;15,016794204711914
7;2889,9526596069336;14,958381652832031
12;2793,9772605895996;14,060258865356445
14;2934,063673019409;14,960527420043945
16;2916,4962768554688;16,169071197509766
15;2813,7495517730713;14,980316162109375
Mean;2946,019756793976;16,092443466186523
Std.Dev.;59248,84339628691;11,973448490607552
Min;2780,2958488464355;13,837099075317383
Max;3925,0407218933105;29,92415428161621
