Test-User;Support Vector Machine;Random Forest
2;0,7867816091954023;0,7339080459770115
10;0,8879310344827587;0,9517241379310345
9;0,8435139573070608;0,9488505747126437
15;0,9086206896551724;0,9545977011494252
11;0,8922413793103449;0,9458128078817734
1;0,7672413793103449;0,7994252873563218
14;0,9367816091954023;0,943103448275862
6;0,886206896551724;0,8189655172413793
13;0,9482758620689655;0,9862068965517241
3;0,8113300492610838;0,8568965517241379
17;0,9344827586206896;0,9660919540229884
20;1,0;0,9775862068965517
7;0,8471264367816093;0,8351395730706076
18;0,8844827586206897;0,9051724137931034
12;0,9775862068965517;0,9775862068965517
4;0,953448275862069;0,9540229885057471
5;0,8441644562334217;0,9425287356321839
8;0,9913793103448276;0,9482758620689655
19;1,0;1,0
16;0,9224137931034483;0,9689655172413792
Mean;0,9012004231400784;0,9207430213464696
Std.Dev.;0,004534664861675954;0,004970343098594965
Min;0,7672413793103449;0,7339080459770115
Max;1,0;1,0
