Test-User;Support Vector Machine;Random Forest
7;3816,465377807617;9189,63599205017
4;4726,892471313477;10439,767122268677
14;11353,033781051636;11568,720817565918
9;4276,590824127197;10001,286506652832
13;4217,88215637207;9997,120380401611
5;4149,6288776397705;10018,19396018982
18;4204,069375991821;9991,716623306274
17;4172,686815261841;9933,220624923706
12;4180,390357971191;9945,748090744019
2;4182,478427886963;9901,091575622559
8;4145,581483840942;10133,97240638733
15;4253,338098526001;10053,360223770142
6;4283,684253692627;10023,038864135742
16;4248,649597167969;10187,051057815552
11;4318,416595458984;10089,341640472412
10;4351,829290390015;9991,968154907227
19;4208,763837814331;10004,740476608276
3;4225,677490234375;10086,96722984314
1;4170,207738876343;9885,473012924194
20;4210,756540298462;9885,249614715576
Mean;4584,851169586182;10066,383218765259
Std.Dev.;2434628,289967426;166933,08138058233
Min;3816,465377807617;9189,63599205017
Max;11353,033781051636;11568,720817565918
