Test-User;Support Vector Machine;Random Forest
1;0,6961597542242702;0,7134408602150537
2;0,6604838709677419;0,6827188940092166
7;0,7563748079877114;0,8281490015360983
4;0,8375576036866359;0,8846774193548388
17;0,8810483870967742;0,9325268817204301
5;0,7751600102406554;0,8688748079877111
8;0,8132296466973887;0,8997311827956989
13;0,8714285714285714;0,9548387096774195
16;0,8048387096774193;0,9588709677419356
3;0,7368489037843877;0,7724462365591398
18;0,8658986175115208;0,9115591397849463
14;0,8681451612903226;0,9588709677419355
12;0,8823732718894008;0,9230414746543779
11;0,7732910906298003;0,8396505376344087
6;0,7409178187403994;0,7432795698924731
9;0,8007296466973888;0,7993279569892474
19;0,9387096774193548;0,9959677419354839
15;0,8703533026113672;0,8981182795698925
10;0,7782258064516129;0,7844086021505375
20;0,9309139784946235;0,9720430107526883
Mean;0,8141344318763674;0,8661271121351767
Std.Dev.;0,005390946765736101;0,007973430701408211
Min;0,6604838709677419;0,6827188940092166
Max;0,9387096774193548;0,9959677419354839
