Test-User;Support Vector Machine;Random Forest
5;0,7419354838709677;0,8010752688172043
17;0,9139784946236559;0,8924731182795699
9;0,7634408602150538;0,7311827956989247
19;0,9247311827956989;0,9731182795698925
4;0,8655913978494624;0,8655913978494624
16;0,8763440860215054;0,9516129032258065
1;0,6881720430107527;0,6989247311827957
8;0,9086021505376344;0,9354838709677419
10;0,7580645161290323;0,7365591397849462
2;0,7096774193548387;0,7311827956989247
12;0,9086021505376344;0,9139784946236559
13;0,956989247311828;0,956989247311828
18;0,9139784946236559;0,9139784946236559
11;0,7311827956989247;0,7419354838709677
7;0,6774193548387096;0,7096774193548387
6;0,6935483870967742;0,6881720430107527
3;0,7849462365591398;0,6935483870967742
20;0,9247311827956989;0,9623655913978495
15;0,8763440860215054;0,8817204301075269
14;0,9301075268817204;0,946236559139785
Mean;0,8274193548387097;0,8362903225806452
Std.Dev.;0,009081685744016644;0,011098031564342695
Min;0,6774193548387096;0,6881720430107527
Max;0,956989247311828;0,9731182795698925
