Test-User;Support Vector Machine;Random Forest
5;2351,984977722168;4196,63667678833
17;2474,10249710083;4433,409929275513
9;2765,794038772583;4548,508405685425
19;2322,1049308776855;4208,780765533447
4;2191,4210319519043;4290,3547286987305
16;2251,3391971588135;4096,962213516235
1;2104,27188873291;4120,699882507324
8;2401,937246322632;4029,64186668396
10;2369,8835372924805;4122,764825820923
2;2113,889217376709;4074,0456581115723
12;2218,1599140167236;4387,457847595215
13;2418,2121753692627;4014,430284500122
18;2128,6072731018066;4480,983734130859
11;2649,5749950408936;4575,379371643066
7;2062,577962875366;4259,232044219971
6;2254,5251846313477;4645,907878875732
3;2342,7538871765137;4026,719570159912
20;2045,2959537506104;3900,12788772583
15;2030,1344394683838;4082,692861557007
14;2113,322973251343;4717,237949371338
Mean;2280,4946660995483;4260,598719120026
Std.Dev.;37515,07943066429;53576,4687293117
Min;2030,1344394683838;3900,12788772583
Max;2765,794038772583;4717,237949371338
