Test-User;Support Vector Machine;Random Forest
10;309,2060089111328;651,259183883667
3;315,1872158050537;571,4724063873291
13;333,0883979797363;561,5262985229492
15;338,12499046325684;628,3471584320068
20;332,0884704589844;617,271900177002
8;345,0493812561035;590,4455184936523
2;321,17152214050293;588,4287357330322
6;335,07585525512695;568,9733028411865
16;332,1406841278076;571,5007781982422
12;326,1303901672363;581,4728736877441
19;330,11817932128906;580,4755687713623
18;324,16224479675293;575,4613876342773
9;340,1188850402832;574,4905471801758
5;337,0997905731201;569,4375038146973
7;324,1608142852783;586,5187644958496
11;325,1922130584717;567,6751136779785
17;323,1663703918457;555,5112361907959
14;324,13315773010254;583,4393501281738
4;332,139253616333;558,5055351257324
1;349,08485412597656;585,435152053833
Mean;329,8319339752197;583,3824157714844
Std.Dev.;88,74676119262404;541,3033603849726
Min;309,2060089111328;555,5112361907959
Max;349,08485412597656;651,259183883667
