Test-User;Support Vector Machine;Random Forest
20;0,9270161290322582;1,0
18;0,923252688172043;0,9491935483870968
12;0,9133640552995392;0,9544930875576036
8;0,8824500768049155;0,9637096774193549
7;0,7657258064516129;0,881989247311828
11;0,7623463901689709;0,8615591397849462
9;0,8279185867895544;0,8564516129032259
3;0,7807795698924731;0,7562980030721966
10;0,809389400921659;0,8526113671274962
16;0,8293010752688172;0,9543010752688172
19;0,9274193548387096;0,9959677419354839
17;0,8618279569892474;0,9502688172043011
5;0,7850038402457756;0,8798387096774193
2;0,6940860215053763;0,7854838709677419
1;0,6913722478238606;0,7519201228878648
14;0,9118279569892472;0,9559139784946237
13;0,9443548387096774;0,9870967741935485
4;0,8545698924731182;0,9443548387096774
15;0,8653801843317972;0,934331797235023
6;0,718125960061444;0,7507296466973887
Mean;0,8337756016385048;0,8983256528417819
Std.Dev.;0,006172333298250699;0,00661300872933287
Min;0,6913722478238606;0,7507296466973887
Max;0,9443548387096774;1,0
