Test-User;Support Vector Machine;Random Forest
13;544,5137023925781;1872,02787399292
11;543,5478687286377;1767,4565315246582
8;544,5454120635986;1734,6272468566895
15;539,5588874816895;1726,283073425293
20;547,5203990936279;1707,735300064087
9;539,5569801330566;1718,6825275421143
12;546,5683937072754;1734,513521194458
18;537,5621318817139;1746,3295459747314
19;547,7769374847412;1746,3617324829102
7;531,548023223877;1755,4874420166016
16;537,5618934631348;1783,1079959869385
6;536,562442779541;1748,3024597167969
3;556,5128326416016;1738,5334968566895
5;550,5275726318359;1742,368221282959
10;541,0194396972656;1749,5453357696533
2;537,5936031341553;1744,9119091033936
17;544,51584815979;1785,4182720184326
1;547,5356578826904;1757,478952407837
14;552,1624088287354;1753,4101009368896
4;554,7366142272949;1749,5014667510986
Mean;544,071352481842;1753,1041502952576
Std.Dev.;40,520997585389296;1075,1240057679465
Min;531,548023223877;1707,735300064087
Max;556,5128326416016;1872,02787399292
