Test-User;Support Vector Machine;Random Forest
4;1899,254560470581;12,959718704223633
17;1850,2330780029297;12,993335723876953
9;2183,154821395874;12,96544075012207
11;2123,9230632781982;16,97993278503418
6;1855,0381660461426;12,965679168701172
1;2179,7614097595215;14,93215560913086
8;1938,8489723205566;12,960433959960938
10;1844,186782836914;13,962984085083008
3;1920,1126098632812;14,961481094360352
2;1904,2088985443115;12,965917587280273
5;2107,5098514556885;12,965917587280273
15;1967,9763317108154;15,990495681762695
20;1936,3844394683838;12,983560562133789
7;1880,1274299621582;14,562606811523438
12;1994,6656227111816;32,91201591491699
18;1947,2050666809082;13,934612274169922
13;1890,1078701019287;12,937545776367188
14;1982,6595783233643;12,960433959960938
19;2150,3846645355225;13,962745666503906
16;1890,693187713623;14,960050582885742
Mean;1972,3218202590942;14,840853214263916
Std.Dev.;12191,025223103794;18,505102482748725
Min;1844,186782836914;12,937545776367188
Max;2183,154821395874;32,91201591491699
