Test-User;Support Vector Machine;Random Forest
8;1410,19606590271;2488,487720489502
16;1386,4398002624512;2431,1017990112305
12;1399,3167877197266;2421,910524368286
4;1435,7399940490723;2448,6465454101562
7;1380,3715705871582;2418,8289642333984
19;1370,4833984375;2416,8479442596436
20;1389,4784450531006;2419,011354446411
5;1400,2599716186523;2423,6667156219482
11;1383,3575248718262;2433,842420578003
10;1376,4665126800537;2419,5497035980225
15;1405,456781387329;2429,5578002929688
6;1391,4000988006592;2423,846483230591
13;1520,233392715454;2452,458381652832
14;1407,2635173797607;2425,553560256958
18;1412,2812747955322;2454,782247543335
9;1418,2052612304688;2415,684938430786
1;1391,2456035614014;2439,6109580993652
17;1416,3005352020264;2450,6211280822754
3;1562,814474105835;2423,607349395752
2;1406,383752822876;2413,8691425323486
Mean;1413,1847381591797;2432,5742840766907
Std.Dev.;2113,6727321641047;324,2594020177591
Min;1370,4833984375;2413,8691425323486
Max;1562,814474105835;2488,487720489502
