Test-User;Support Vector Machine;Random Forest
16;349,0641117095947;921,5362071990967
10;352,0855903625488;733,0403327941895
13;352,0541191101074;739,9797439575195
18;376,96290016174316;738,431453704834
11;339,0944004058838;735,0616455078125
20;328,1211853027344;713,092565536499
9;536,5679264068604;892,4815654754639
6;412,0345115661621;826,7669677734375
12;645,5299854278564;711,2805843353271
17;615,3275966644287;704,1757106781006
4;324,1612911224365;947,4682807922363
1;378,95846366882324;783,9620113372803
2;470,74127197265625;848,6015796661377
5;383,0075263977051;787,5864505767822
7;374,5605945587158;771,5315818786621
19;370,0132369995117;775,7644653320312
8;364,915132522583;774,7528553009033
14;374,33671951293945;866,995096206665
3;421,9019412994385;844,5630073547363
15;387,52031326293945;850,7895469665527
Mean;407,84794092178345;798,3930826187134
Std.Dev.;7818,464276277127;5014,904267023327
Min;324,1612911224365;704,1757106781006
Max;645,5299854278564;947,4682807922363
