Test-User;Support Vector Machine;Random Forest
20;2435,861825942993;5607,182025909424
11;2262,9599571228027;5421,87762260437
14;2068,7098503112793;5366,9984340667725
4;2074,9471187591553;5465,656995773315
3;2275,601387023926;5420,648813247681
19;2081,4898014068604;5396,04377746582
9;2058,720111846924;5464,971303939819
6;2123,3904361724854;5392,735481262207
8;2097,2485542297363;5522,082090377808
15;2168,1973934173584;5439,533948898315
12;2273,2694149017334;5450,360298156738
18;2090,5673503875732;5536,798477172852
2;2253,4549236297607;5428,22527885437
13;2140,056371688843;5503,159761428833
7;2134,3419551849365;5402,779102325439
1;2210,8826637268066;5468,6431884765625
17;2198,000907897949;5538,836240768433
16;2363,11411857605;5490,9162521362305
10;2148,030996322632;5450,5720138549805
5;2092,376232147217;5407,034635543823
Mean;2177,561068534851;5458,75278711319
Std.Dev.;10433,818025387041;3425,23416344008
Min;2058,720111846924;5366,9984340667725
Max;2435,861825942993;5607,182025909424
