Test-User;Support Vector Machine;Random Forest
4;2854,5892238616943;8528,774738311768
14;2897,681474685669;8051,7308712005615
20;2651,942253112793;8816,896438598633
5;3148,668050765991;8441,814184188843
7;2918,7405109405518;8742,829322814941
8;2828,0391693115234;8254,30941581726
3;2823,5416412353516;8210,34026145935
10;2793,7450408935547;8245,445251464844
19;2816,253900527954;8370,200634002686
17;2840,5327796936035;8396,549701690674
12;2847,6269245147705;8300,249814987183
1;2754,2550563812256;8276,854515075684
2;2767,528533935547;8197,07727432251
15;2805,427312850952;8347,038507461548
9;2770,686388015747;8264,973163604736
6;2864,908218383789;8359,583854675293
18;2797,8248596191406;8324,162721633911
11;3014,509916305542;8376,999855041504
16;2808,913469314575;8388,863563537598
13;2917,463779449463;8300,638675689697
Mean;2846,143925189972;8359,766638278961
Std.Dev.;10061,3210628255;29290,333412548505
Min;2651,942253112793;8051,7308712005615
Max;3148,668050765991;8816,896438598633
