Test-User;Support Vector Machine;Random Forest
5;0,8275862068965517;0,9310344827586207
20;0,9655172413793104;0,9770114942528736
12;0,9655172413793104;0,9540229885057471
14;0,9425287356321839;0,9770114942528736
11;0,9080459770114943;0,9310344827586207
13;0,9540229885057471;0,9655172413793104
19;0,9770114942528736;1,0
16;0,9425287356321839;0,9425287356321839
9;0,8390804597701149;0,896551724137931
2;0,7701149425287356;0,7701149425287356
15;0,896551724137931;0,9540229885057471
7;0,7471264367816092;0,8620689655172413
1;0,8045977011494253;0,7816091954022989
4;0,9540229885057471;0,9655172413793104
8;1,0;1,0
6;0,8735632183908046;0,8505747126436781
18;0,9195402298850575;0,8850574712643678
17;0,9425287356321839;0,9770114942528736
10;0,8850574712643678;0,9080459770114943
3;0,8620689655172413;0,8850574712643678
Mean;0,8988505747126437;0,9206896551724137
Std.Dev.;0,004843440348791123;0,004133967499009117
Min;0,7471264367816092;0,7701149425287356
Max;1,0;1,0
