Test-User;Support Vector Machine;Random Forest
3;3258,7242126464844;5910,575866699219
7;2538,403272628784;5981,171131134033
4;2519,7222232818604;5895,754814147949
1;2507,371187210083;5928,838491439819
16;2565,891742706299;6040,608167648315
19;2533,6852073669434;5938,901662826538
20;2562,6142024993896;6578,7034034729
9;2465,385913848877;6116,930246353149
6;2498,5735416412354;6015,900611877441
14;2692,473888397217;6056,7381381988525
8;2580,0650119781494;5906,39591217041
12;2561,7692470550537;5866,0478591918945
11;2686,6986751556396;5972,244501113892
18;2607,5754165649414;6000,303745269775
5;2546,5986728668213;5932,985305786133
10;2571,51460647583;5930,926561355591
17;2519,972085952759;5970,633745193481
15;2510,5209350585938;6007,256269454956
13;2566,530704498291;6010,120630264282
2;2646,047830581665;6023,553848266602
Mean;2597,006928920746;6004,229545593262
Std.Dev.;26361,167143536906;20982,926958612326
Min;2465,385913848877;5866,0478591918945
Max;3258,7242126464844;6578,7034034729
