Test-User;Support Vector Machine;Random Forest
2;0,6914746543778801;0,7259856630824373
13;0,8709293394777265;0,9301075268817204
9;0,745942140296979;0,8037669319927384
20;0,9263056835637482;0,9592165898617512
14;0,8457757296466974;0,9348310291858678
19;0,9277265745007681;0,9944700460829492
6;0,7102219465122691;0,7446515849741656
11;0,7668691523530233;0,8380638179025276
4;0,8213133640552995;0,8634408602150536
7;0,7387456629392112;0,7798771121351767
17;0,8500034911325234;0,8999231950844854
8;0,8210771307545501;0,9109831029185869
10;0,7382779406972955;0,7645545314900154
1;0,6375192012288787;0,6700367732625797
18;0,8824500768049156;0,9072964669738862
3;0,7585951682725877;0,7653225806451615
5;0,7333255454223196;0,8678571428571429
16;0,8324884792626729;0,9276881720430108
12;0,8475806451612904;0,8889016897081413
15;0,8490434296885909;0,8794162826420893
Mean;0,7997832678074615;0,8528195549969743
Std.Dev.;0,005964675657604571;0,007259758165262187
Min;0,6375192012288787;0,6700367732625797
Max;0,9277265745007681;0,9944700460829492
