Test-User;Support Vector Machine;Random Forest
14;447,7980136871338;1181,6787719726562
8;742,0182228088379;1155,466079711914
18;441,8168067932129;1314,4845962524414
12;471,738338470459;1167,2465801239014
17;440,85192680358887;1289,409875869751
19;592,688798904419;1295,4931259155273
11;461,916446685791;1693,5515403747559
5;571,502685546875;1168,1411266326904
13;445,27721405029297;1146,324634552002
6;445,98388671875;1143,036127090454
3;448,83227348327637;1146,073579788208
10;438,8566017150879;1133,9068412780762
2;447,22914695739746;1140,8796310424805
20;453,26685905456543;1142,8782939910889
16;448,3935832977295;1149,4553089141846
7;448,79627227783203;1134,1822147369385
4;463,08374404907227;1140,0611400604248
15;448,8372802734375;1142,549991607666
9;447,80802726745605;1137,4289989471436
1;442,5854682922363;1134,8567008972168
Mean;477,46407985687256;1197,855257987976
Std.Dev.;5325,042552269111;16011,335913020162
Min;438,8566017150879;1133,9068412780762
Max;742,0182228088379;1693,5515403747559
