Test-User;Support Vector Machine;Random Forest
13;3375,991106033325;4956,738471984863
3;2304,7266006469727;4803,391218185425
2;2349,9183654785156;4934,616804122925
14;2396,52943611145;4998,498201370239
18;2376,06143951416;4872,610092163086
16;2305,7169914245605;4824,873447418213
7;2297,2848415374756;4923,660516738892
20;2327,1853923797607;4886,115312576294
11;2330,251455307007;4848,061800003052
12;2499,4592666625977;4831,35199546814
8;2323,375701904297;4860,291481018066
10;2333,874464035034;4766,745567321777
19;2450,223207473755;4803,430080413818
4;3579,2253017425537;4856,951713562012
15;3358,7772846221924;4850,521087646484
1;2319,5910453796387;4849,478006362915
5;2465,2457237243652;4969,78497505188
17;2347,604751586914;4971,949100494385
6;2330,203056335449;4836,758613586426
9;2490,0693893432617;4832,08155632019
Mean;2528,0657410621643;4873,895502090454
Std.Dev.;151262,7659524121;3927,6411102684956
Min;2297,2848415374756;4766,745567321777
Max;3579,2253017425537;4998,498201370239
