Test-User;Support Vector Machine;Random Forest
6;1489,0196323394775;1424,159288406372
7;1606,9912910461426;1401,9060134887695
17;1627,6490688323975;1293,536901473999
4;1626,8737316131592;1494,0032958984375
12;1718,4925079345703;1283,1897735595703
10;1649,6515274047852;1300,8613586425781
13;1616,9590950012207;1305,2308559417725
3;1611,4227771759033;1318,5045719146729
19;1627,1030902862549;1307,3172569274902
8;1606,0802936553955;1306,7708015441895
20;1625,6308555603027;1284,729242324829
16;1643,4662342071533;1294,0802574157715
2;1643,7811851501465;1281,1949253082275
15;1650,099515914917;1296,0846424102783
11;1633,4714889526367;1306,772232055664
14;1623,8043308258057;1324,3484497070312
9;1614,2585277557373;1292,0305728912354
1;1983,5586547851562;1432,373285293579
18;1652,580738067627;1264,6455764770508
5;1625,2553462982178;1283,7293148040771
Mean;1643,8074946403503;1324,7734308242798
Std.Dev.;7627,4376096891665;3616,7114703658854
Min;1489,0196323394775;1264,6455764770508
Max;1983,5586547851562;1494,0032958984375
