Test-User;Support Vector Machine;Random Forest
19;10938,56430053711;12,965202331542969
18;11136,83557510376;15,957117080688477
13;10671,934604644775;12,966632843017578
6;12451,24101638794;18,976926803588867
3;11670,36247253418;14,96744155883789
20;11305,748224258423;14,931201934814453
5;11893,938779830933;15,167951583862305
10;11260,561466217041;14,960289001464844
11;11247,396230697632;14,960050582885742
8;12002,190589904785;15,957355499267578
12;11293,47562789917;14,960527420043945
15;11743,81136894226;14,959335327148438
14;11307,130575180054;15,92564582824707
1;11463,65737915039;15,929460525512695
9;11323,732852935791;13,962984085083008
17;11298,612833023071;17,403364181518555
4;11717,851400375366;17,979860305786133
2;12135,866165161133;15,994071960449219
7;11508,62193107605;14,988422393798828
16;11971,930503845215;16,95537567138672
Mean;11517,173194885254;15,543460845947266
Std.Dev.;175692,5971451119;2,1160288895316626
Min;10671,934604644775;12,965202331542969
Max;12451,24101638794;18,976926803588867
